,Precision,Recall,F1 Score,TP,FP,FN,TN,Target State
CFCBK,0.0,0.0,0.0,0.0,0.0,0.0,462.0,west_bengal
FCBK,0.6363636363636364,0.043478260869565216,0.08139534883720931,7.0,4.0,154.0,297.0,west_bengal
Zigzag,0.6585365853658537,0.9867109634551495,0.7898936170212767,297.0,154.0,4.0,7.0,west_bengal
Mean,0.43163340724316335,0.3433964081082383,0.290429655286162,101.33333333333333,52.666666666666664,52.666666666666664,255.33333333333334,west_bengal
CFCBK,0.0,0.0,0.0,0.0,0.0,0.0,1499.0,haryana
FCBK,0.07547169811320754,0.06896551724137931,0.07207207207207206,4.0,49.0,54.0,1392.0,haryana
Zigzag,0.9626556016597511,0.9659958362248439,0.9643228264634569,1392.0,54.0,49.0,4.0,haryana
Mean,0.3460424332576529,0.3449871178220744,0.34546496617850964,465.3333333333333,34.333333333333336,34.333333333333336,965.0,haryana
CFCBK,0.0,0.0,0.0,0.0,0.0,46.0,2155.0,uttar_pradesh
FCBK,0.5950155763239875,0.17951127819548873,0.2758122743682311,191.0,130.0,873.0,1007.0,uttar_pradesh
Zigzag,0.5159574468085106,0.8890925756186985,0.6529787950185123,970.0,910.0,121.0,200.0,uttar_pradesh
Mean,0.37032434104416606,0.3562012846047291,0.30959702312891446,387.0,346.6666666666667,346.6666666666667,1120.6666666666667,uttar_pradesh
CFCBK,0.0,0.0,0.0,0.0,0.0,0.0,1757.0,bihar
FCBK,0.15,0.05128205128205128,0.07643312101910828,6.0,34.0,111.0,1606.0,bihar
Zigzag,0.9353523587652883,0.9792682926829268,0.956806672624367,1606.0,111.0,34.0,6.0,bihar
Mean,0.36178411958842943,0.34351678132165936,0.3444132645478251,537.3333333333334,48.333333333333336,48.333333333333336,1123.0,bihar
